event_id,n_documents,n_filings,n_amendment_filings,n_initial_filings,has_amendment,forms,form_families,primary_form_family,entity_names,primary_entity,ciks,primary_cik,tickers,first_file_date,last_file_date,event_span_days,n_exhibits,n_primary_docs,forms_list,has_to_t,has_to_i,has_14d9,has_file_num,mvp_event_type_provisional,in_mvp_core,in_mvp_preferred,in_mvp_stretch,amendment_eval_band
005-02933,23,10,8,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['VOLT INFORMATION SCIENCES, INC.']","VOLT INFORMATION SCIENCES, INC.",['0000103872' '0001918612'],0000103872,[],2022-03-25,2022-04-25,31,13,10,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-06295,21,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['VECTOR GROUP LTD'],VECTOR GROUP LTD,['0000059440' '0002032607'],0000059440,['VGR'],2024-09-04,2024-10-07,33,12,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-09319,25,11,8,3,True,['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['going_private' 'target_recommendation' 'third_party_tender'],mixed,['AVX Corp'],AVX Corp,['0000057083' '0000859163'],0000057083,[],2020-03-02,2020-03-30,28,14,11,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-09915,28,8,5,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['EVANS & SUTHERLAND COMPUTER CORP'],EVANS & SUTHERLAND COMPUTER CORP,['0000276283' '0001802887'],0000276283,[],2020-02-10,2020-03-26,45,20,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-12061,18,7,4,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['HP INC'],HP INC,['0000047217' '0001770450'],0000047217,['HPQ'],2020-03-02,2020-04-06,35,11,7,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-12857,49,14,9,5,True,['SC 14D9' 'SC 14D9/A' 'SC TO-I' 'SC TO-I/A' 'SC TO-T' 'SC TO-T/A'],['issuer_tender' 'target_recommendation' 'third_party_tender'],mixed,"['ADAMS NATURAL RESOURCES FUND, INC.']","ADAMS NATURAL RESOURCES FUND, INC.",['0000216851' '0001504304'],0000216851,['PEO'],2020-05-15,2020-09-10,118,35,14,"['SC 14D9', 'SC 14D9/A', 'SC TO-I', 'SC TO-I/A', 'SC TO-T', 'SC TO-T/A']",True,True,True,True,tender_offer,True,True,False,complex
005-18240,27,11,9,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['CSS INDUSTRIES INC'],CSS INDUSTRIES INC,['0000020629' '0001800420'],0000020629,[],2020-01-31,2020-03-02,31,16,11,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-20723,37,14,11,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-I' 'SC TO-T' 'SC TO-T/A'],['issuer_tender' 'target_recommendation' 'third_party_tender'],mixed,['CONTINENTAL MATERIALS CORP'],CONTINENTAL MATERIALS CORP,['0000024104' '0001803105'],0000024104,[],2020-02-18,2020-04-20,62,23,14,"['SC 14D9', 'SC 14D9/A', 'SC TO-I', 'SC TO-T', 'SC TO-T/A']",True,True,True,True,tender_offer,True,True,False,complex
005-30797,43,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['OVERSEAS SHIPHOLDING GROUP INC'],OVERSEAS SHIPHOLDING GROUP INC,['0000075208' '0001806446'],0000075208,[],2024-06-10,2024-07-10,30,34,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-31632,37,17,15,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['GOLDFIELD CORP'],GOLDFIELD CORP,['0000042316' '0001832960'],0000042316,[],2020-12-01,2020-12-30,29,20,17,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-32163,32,18,16,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['COMPUTER TASK GROUP INC'],COMPUTER TASK GROUP INC,['0000023111' '0001989032'],0000023111,[],2023-08-23,2023-12-13,112,14,18,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-32384,40,11,8,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-I' 'SC TO-I/A' 'SC TO-T' 'SC TO-T/A'],['issuer_tender' 'target_recommendation' 'third_party_tender'],mixed,"['TherapeuticsMD, Inc.']","TherapeuticsMD, Inc.",['0000025743' '0001931567'],0000025743,['TXMD'],2021-08-26,2022-07-13,321,29,11,"['SC 14D9', 'SC 14D9/A', 'SC TO-I', 'SC TO-I/A', 'SC TO-T', 'SC TO-T/A']",True,True,True,True,tender_offer,True,True,False,complex
005-32675,16,6,4,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['SERVOTRONICS INC /DE/'],SERVOTRONICS INC /DE/,['0000089140' '0001260221'],0000089140,['SVT'],2025-06-02,2025-07-01,29,10,6,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-32746,25,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['TRECORA RESOURCES'],TRECORA RESOURCES,['0000007039' '0001929558'],0000007039,[],2022-05-25,2022-06-24,30,17,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-35857,34,12,10,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['IMMUNOMEDICS INC'],IMMUNOMEDICS INC,['0000722830' '0000882095'],0000722830,[],2020-09-24,2020-10-23,29,22,12,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-37717,21,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['DAWSON GEOPHYSICAL CO'],DAWSON GEOPHYSICAL CO,['0000799165' '0001662888'],0000799165,['DWSN'],2021-11-01,2022-01-18,78,12,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-38281,54,19,17,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['CERNER Corp'],CERNER Corp,['0000804753' '0001341439'],0000804753,[],2022-01-19,2022-06-07,139,35,19,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-38286,20,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['AMAG PHARMACEUTICALS, INC.']","AMAG PHARMACEUTICALS, INC.",['0000792977' '0001784683'],0000792977,[],2020-10-15,2020-11-16,32,12,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-38473,29,7,5,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['TSR INC'],TSR INC,['0000098338' '0002023352'],0000098338,[],2024-05-30,2024-06-28,29,22,7,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-38995,23,12,10,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['ABIOMED INC'],ABIOMED INC,['0000200406' '0000815094'],0000200406,[],2022-11-15,2022-12-22,37,11,12,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-39533,14,6,3,3,True,['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['going_private' 'target_recommendation' 'third_party_tender'],mixed,['INTERNATIONAL BALER CORP'],INTERNATIONAL BALER CORP,['0000781902' '0001638419'],0000781902,[],2022-04-20,2022-05-20,30,8,6,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-40533,24,10,8,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['ZIX CORP'],ZIX CORP,['0000855612' '0001002638'],0000855612,[],2021-11-22,2021-12-23,31,14,10,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-41257,21,6,4,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['ICONIX BRAND GROUP, INC.']","ICONIX BRAND GROUP, INC.",['0000857737' '0001868513'],0000857737,[],2021-07-02,2021-08-02,31,15,6,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-42546,19,6,4,2,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['ALLIANCEBERNSTEIN HOLDING L.P.'],ALLIANCEBERNSTEIN HOLDING L.P.,['0000825313' '0001333986'],0000825313,['AB'],2025-02-24,2025-04-03,38,13,6,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-42593,92,43,40,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['SEACOR HOLDINGS INC /NEW/'],SEACOR HOLDINGS INC /NEW/,['0000080255' '0000859598' '0001834675'],0000080255,[],2020-12-18,2021-04-15,118,49,43,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-43486,15,7,5,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['Qumu Corp'],Qumu Corp,['0000892482' '0001203589'],0000892482,[],2023-01-06,2023-02-07,32,8,7,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-44491,20,4,2,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['GOODRICH PETROLEUM CORP'],GOODRICH PETROLEUM CORP,['0000943861' '0001895996'],0000943861,[],2021-11-24,2021-12-23,29,16,4,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-44849,16,6,4,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['LA JOLLA PHARMACEUTICAL CO'],LA JOLLA PHARMACEUTICAL CO,['0000920465' '0001080014'],0000920465,[],2022-07-25,2022-08-22,28,10,6,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-45332,24,6,4,2,True,['SC 14D9' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['ENEL AMERICAS S.A.'],ENEL AMERICAS S.A.,['0000912505' '0001096200'],0000912505,[],2021-02-22,2021-04-16,53,18,6,"['SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-45693,30,9,7,2,True,['SC 13E3/A' 'SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['going_private' 'target_recommendation' 'third_party_tender'],mixed,['INCOME OPPORTUNITY REALTY INVESTORS INC /TX/'],INCOME OPPORTUNITY REALTY INVESTORS INC /TX/,['0000733590' '0000949961'],0000733590,['IOR'],2024-12-16,2025-02-10,56,21,9,"['SC 13E3/A', 'SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-45771,37,18,15,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['IEC ELECTRONICS CORP'],IEC ELECTRONICS CORP,['0000049728' '0001878022'],0000049728,[],2021-08-12,2021-10-05,54,19,18,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-45887,16,7,4,3,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['VIDLER WATER RESOURCES, INC.']","VIDLER WATER RESOURCES, INC.",['0000830122' '0000882184'],0000830122,[],2022-04-14,2022-05-25,41,9,7,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-47211,35,11,7,4,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['BBQ HOLDINGS, INC.']","BBQ HOLDINGS, INC.",['0001021270' '0001940990'],0001021270,[],2022-08-09,2022-09-26,48,24,11,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-47265,20,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['DOVER MOTORSPORTS INC'],DOVER MOTORSPORTS INC,['0000934648' '0001017673'],0000934648,[],2021-11-23,2021-12-22,29,11,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-47575,24,11,9,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,"['ANTARES PHARMA, INC.']","ANTARES PHARMA, INC.",['0001016169' '0001159036'],0001016169,[],2022-04-26,2022-05-24,28,13,11,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-48459,25,11,9,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['CTI BIOPHARMA CORP'],CTI BIOPHARMA CORP,['0000891293' '0001789731'],0000891293,[],2023-05-25,2023-06-26,32,14,11,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-48819,9,8,8,0,True,['SC 14D9/A' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['ARQULE INC'],ARQULE INC,['0000310158' '0001019695'],0000310158,[],2020-01-02,2020-01-16,14,1,8,"['SC 14D9/A', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-49389,20,6,4,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['SIGMATRON INTERNATIONAL INC'],SIGMATRON INTERNATIONAL INC,['0000915358' '0001934933'],0000915358,['SGMA'],2025-06-26,2025-07-25,29,14,6,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-49833,48,15,13,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['MILLICOM INTERNATIONAL CELLULAR SA'],MILLICOM INTERNATIONAL CELLULAR SA,['0000912958' '0001952901'],0000912958,['MLCMF' 'TIGO'],2024-07-01,2024-08-28,58,33,15,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-50377,20,8,6,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['INTEVAC INC'],INTEVAC INC,['0001001902' '0001137789'],0001001902,['IVAC'],2025-03-03,2025-03-31,28,12,8,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-51125,32,15,11,4,True,['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['going_private' 'target_recommendation' 'third_party_tender'],mixed,['NATIONAL HOLDINGS CORP'],NATIONAL HOLDINGS CORP,['0001023844' '0001464790'],0001023844,[],2021-01-11,2021-02-25,45,17,15,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-52745,23,10,7,3,True,['SC 13E3' 'SC 13E3/A' 'SC 14D9' 'SC TO-T' 'SC TO-T/A'],['going_private' 'target_recommendation' 'third_party_tender'],mixed,"['Startek, Inc.']","Startek, Inc.",['0001031029' '0001736804'],0001031029,[],2022-11-22,2024-01-05,409,13,10,"['SC 13E3', 'SC 13E3/A', 'SC 14D9', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
005-53191,18,7,5,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['MAGAL SECURITY SYSTEMS LTD'],MAGAL SECURITY SYSTEMS LTD,['0000896494' '0001426753'],0000896494,[],2020-05-22,2020-07-06,45,11,7,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,simple
005-53975,38,9,7,2,True,['SC 14D9' 'SC 14D9/A' 'SC TO-T' 'SC TO-T/A'],['target_recommendation' 'third_party_tender'],mixed,['SHARPS COMPLIANCE CORP'],SHARPS COMPLIANCE CORP,['0000898770' '0001938038'],0000898770,[],2022-07-25,2022-08-24,30,29,9,"['SC 14D9', 'SC 14D9/A', 'SC TO-T', 'SC TO-T/A']",True,False,True,True,tender_offer,True,True,False,complex
